DBCODE,ENTITY,SITE,REP,DATE,MAX_DEPTH
SP036,3,AR2,1,2017-09-06,1.92
SP036,3,AR2,2,2017-09-06,1.69
SP036,3,AR3,1,2017-07-18,0.95
SP036,3,AR3,2,2017-07-18,1.71
SP036,3,CR1,1,2017-09-06,2.38
SP036,3,CR1,2,2017-09-06,1.72
SP036,3,CR3,1,2017-07-18,1.90
SP036,3,CR3,2,2017-07-18,2.50
SP036,3,DH0,1,2017-09-06,2.31
SP036,3,DH0,2,2017-09-06,2.04
SP036,3,DH1,1,2017-09-06,2.17
SP036,3,DH1,2,2017-09-06,0.41
SP036,3,DH2,1,2017-09-06,1.49
SP036,3,DH2,2,2017-09-06,1.31
SP036,3,DH2,3,2017-09-06,0.10
SP036,3,DH2,4,2017-09-06,0.45
SP036,3,ER1,1,2017-09-06,0.82
SP036,3,ER1,2,2017-09-06,0.40
SP036,3,ER3,1,2017-07-19,0.92
SP036,3,ER3,2,2017-07-19,0.73
SP036,3,ER3,3,2017-07-19,0.69
SP036,3,FZ1,1,2017-08-31,5.10
SP036,3,FZ1,2,2017-08-31,1.92
SP036,3,FZ2,1,2017-09-05,1.43
SP036,3,FZ2,2,2017-09-05,1.92
SP036,3,FZ3,1,2017-09-05,2.92
SP036,3,FZ3,2,2017-09-05,2.70
SP036,3,GR3,1,2017-07-19,1.45
SP036,3,GR3,2,2017-07-19,1.52
SP036,3,GZ1,1,2017-09-13,4.51
SP036,3,GZ2,1,2017-09-05,0.97
SP036,3,GZ2,2,2017-09-05,0.27
SP036,3,HH1,1,2017-08-15,3.03
SP036,3,HH1,2,2017-08-15,1.88
SP036,3,HH3,1,2017-08-30,1.53
SP036,3,HH3,2,2017-08-30,1.80
SP036,3,HH4,1,2017-08-15,1.78
SP036,3,HH4,2,2017-08-15,2.95
SP036,3,HH5,1,2017-08-30,2.29
SP036,3,HH5,2,2017-08-30,2.32
SP036,3,IR1,1,2017-08-15,2.40
SP036,3,IR1,2,2017-08-15,1.38
SP036,3,IR3,1,2017-09-13,0.50
SP036,3,IR3,2,2017-09-13,0.38
SP036,3,IR4,1,2017-08-16,1.25
SP036,3,IR4,2,2017-08-16,0.70
SP036,3,JH0,1,2017-09-13,3.77
SP036,3,JH0,2,2017-09-13,2.78
SP036,3,JH1,1,2017-08-16,2.16
SP036,3,JH1,2,2017-08-16,3.91
SP036,3,JH2,1,2017-08-16,3.40
SP036,3,JH2,2,2017-08-16,4.41
SP036,3,LH1,1,2017-09-12,4.74
SP036,3,LH1,2,2017-09-12,5.15
SP036,3,LH3,1,2017-09-12,3.82
SP036,3,LH3,2,2017-09-12,1.22
SP036,3,LH4,1,2017-07-27,2.43
SP036,3,LH4,2,2017-07-27,4.27
SP036,3,LH5,1,2017-09-12,1.02
SP036,3,LH5,2,2017-09-12,0.79
SP036,3,LZ1,1,2017-07-25,1.60
SP036,3,LZ1,2,2017-07-25,2.18
SP036,3,LZ2,1,2017-07-25,5.00
SP036,3,LZ2,2,2017-07-25,5.10
SP036,3,LZ3,1,2017-07-26,5.15
SP036,3,LZ3,2,2017-07-26,3.75
SP036,3,LZ5,1,2017-07-20,1.85
SP036,3,LZ5,2,2017-07-20,2.49
SP036,3,MR1,1,2017-09-12,3.20
SP036,3,MR1,2,2017-09-12,2.83
SP036,3,MR2,1,2017-09-12,2.23
SP036,3,MR2,2,2017-09-12,1.15
SP036,3,MR3,1,2017-09-12,2.80
SP036,3,MR3,2,2017-09-12,1.87
SP036,3,MZ1,1,2017-07-20,1.62
SP036,3,MZ1,2,2017-07-20,3.48
SP036,3,MZ2,1,2017-07-26,4.40
SP036,3,MZ2,2,2017-07-26,1.15
SP036,3,MZ2,3,2017-07-26,3.29
